title,link,content
Listen to ‘The Daily’,/2020/12/11/podcasts/the-daily/georgia-special-election.html,The New York Times surveyed all 50 states for their estimates of how much coronavirus vaccine they expect to receive before the end of 2020.
Got a confidential news tip?,/2020/12/11/podcasts/the-daily/georgia-special-election.html,Doses are being packed at Pfizer’s Michigan plant. A C.D.C. panel endorsed the vaccine and will issue guidance for pregnant women. Here’s the latest.
Listen to ‘Sway’ With Kara Swisher,https://www.nytimes.com/tips,The Supreme Court repudiation of President Trump was also a blunt rebuke to Republican leaders who had put their interests ahead of the country’s.
U.S. Begins Staggering Effort to Get Vaccines to States,https://www.nytimes.com/tips,"A Trump appointee in Milwaukee dismissed a suit contesting the election with a withering rebuke, ruling that it had failed “as a matter of law and fact.”"
How Many Doses Will Your State Get?,/2020/12/10/opinion/sway-kara-swisher-jason-kilar.html,"Protesters, including members of the far-right Proud Boys, were incensed by a Supreme Court ruling that dashed President Trump’s election hopes."
UPS and FedEx to Ship the First Vaccines on Sunday Morning,/2020/12/10/opinion/sway-kara-swisher-jason-kilar.html,"The pressure on President-elect Joe Biden is intense, even as his efforts to ensure ethnic and gender diversity already go far beyond those of President Trump."
How the G.O.P. Tried to Topple a Pillar of Democracy,/2020/12/12/health/covid-vaccine-first.html,"A year ago, Mr. Biden was on a grim bus tour through Iowa, joined by many old friends. Now he wants to bring some of the crew to Washington."
Federal Judge in Wisconsin Deals Trump Another Defeat,/interactive/2020/12/11/us/covid-19-vaccine-doses.html,"The critical tweets echoed the president’s attacks on Jeff Sessions, his first attorney general."
Thousands of Trump Supporters Protest as Bids to Overturn Vote Fail,https://www.nytimes.com/live/2020/12/12/world/covid-19-coronavirus,Gov. Andrew Cuomo made a sharp strategic shift to persuade New Yorkers to take the coronavirus seriously as infections surged across the state.
"Seeking a Diverse Administration, Biden Finds One Group’s Gain Is Another’s Loss",https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,"Before the ban on indoor dining in New York City was reinstated, some music clubs had restarted performances, claiming they were background music."
Joe Biden’s Iowa Bus Tour Is Headed for a D.C. Reunion,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,He cemented his place in the country pantheon in the 1970s with hits including “Kiss an Angel Good Mornin’” and “Is Anybody Goin’ to San Antone.”
Trump Castigates Barr for Not Publicly Disclosing Hunter Biden Inquiry,https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,The best actors of 2020. Barack Obama on his memoir. An attempt at counting Australia’s koalas. And more.
Cuomo Tries to Jolt Public by Warning of Overwhelmed Hospitals,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,The Biden administration will have the opportunity to restore confidence in America and take on the worsening climate crisis.
"Piano Bars and Jazz Clubs Reopened, Calling Live Music ‘Incidental’",https://www.nytimes.com/interactive/2020/world/asia/india-coronavirus-cases.html,The Supreme Court thwarts the latest Trumpist attack on American democracy.
"Charley Pride, Country Music’s First Black Superstar, Dies at 86",https://www.nytimes.com/interactive/2020/world/americas/brazil-coronavirus-cases.html,"The Senegalese capital has an aura that seeps into the soul. Bustling and addictive, it makes you want to stick around."
The Weekender: A Celebrity Pastor’s Fall From Grace,https://www.nytimes.com/interactive/2020/world/europe/united-kingdom-coronavirus-cases.html,Carmen Lynch told the same joke on “The Tonight Show” and an album. It didn’t take off until she made it the subject of a goofy video on TikTok.
Did you follow the headlines this week? Try our news quiz.,https://www.nytimes.com/interactive/2020/world/americas/mexico-coronavirus-cases.html,"The Year in Pictures project is an annual celebration of photojournalism. In 2020, photographers were living what they captured."
title,link,content
Listen to ‘The Daily’,/2020/12/11/podcasts/the-daily/georgia-special-election.html,The New York Times surveyed all 50 states for their estimates of how much coronavirus vaccine they expect to receive before the end of 2020.
Got a confidential news tip?,/2020/12/11/podcasts/the-daily/georgia-special-election.html,Doses are being packed at Pfizer’s Michigan plant. A C.D.C. panel endorsed the vaccine and will issue guidance for pregnant women. Here’s the latest.
Listen to ‘Sway’ With Kara Swisher,https://www.nytimes.com/tips,The Supreme Court repudiation of President Trump was also a blunt rebuke to Republican leaders who had put their interests ahead of the country’s.
U.S. Begins Staggering Effort to Get Vaccines to States,https://www.nytimes.com/tips,"A Trump appointee in Milwaukee dismissed a suit contesting the election with a withering rebuke, ruling that it had failed “as a matter of law and fact.”"
How Many Doses Will Your State Get?,/2020/12/10/opinion/sway-kara-swisher-jason-kilar.html,"Protesters, including members of the far-right Proud Boys, were incensed by a Supreme Court ruling that dashed President Trump’s election hopes."
UPS and FedEx to Ship the First Vaccines on Sunday Morning,/2020/12/10/opinion/sway-kara-swisher-jason-kilar.html,"The pressure on President-elect Joe Biden is intense, even as his efforts to ensure ethnic and gender diversity already go far beyond those of President Trump."
How the G.O.P. Tried to Topple a Pillar of Democracy,/2020/12/12/health/covid-vaccine-first.html,"A year ago, Mr. Biden was on a grim bus tour through Iowa, joined by many old friends. Now he wants to bring some of the crew to Washington."
Federal Judge in Wisconsin Deals Trump Another Defeat,/interactive/2020/12/11/us/covid-19-vaccine-doses.html,"The critical tweets echoed the president’s attacks on Jeff Sessions, his first attorney general."
Thousands of Trump Supporters Protest as Bids to Overturn Vote Fail,https://www.nytimes.com/live/2020/12/12/world/covid-19-coronavirus,Gov. Andrew Cuomo made a sharp strategic shift to persuade New Yorkers to take the coronavirus seriously as infections surged across the state.
"Seeking a Diverse Administration, Biden Finds One Group’s Gain Is Another’s Loss",https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,"Before the ban on indoor dining in New York City was reinstated, some music clubs had restarted performances, claiming they were background music."
Joe Biden’s Iowa Bus Tour Is Headed for a D.C. Reunion,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,He cemented his place in the country pantheon in the 1970s with hits including “Kiss an Angel Good Mornin’” and “Is Anybody Goin’ to San Antone.”
Trump Castigates Barr for Not Publicly Disclosing Hunter Biden Inquiry,https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,The best actors of 2020. Barack Obama on his memoir. An attempt at counting Australia’s koalas. And more.
Cuomo Tries to Jolt Public by Warning of Overwhelmed Hospitals,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,The Biden administration will have the opportunity to restore confidence in America and take on the worsening climate crisis.
"Piano Bars and Jazz Clubs Reopened, Calling Live Music ‘Incidental’",https://www.nytimes.com/interactive/2020/world/asia/india-coronavirus-cases.html,The Supreme Court thwarts the latest Trumpist attack on American democracy.
"Charley Pride, Country Music’s First Black Superstar, Dies at 86",https://www.nytimes.com/interactive/2020/world/americas/brazil-coronavirus-cases.html,"The Senegalese capital has an aura that seeps into the soul. Bustling and addictive, it makes you want to stick around."
The Weekender: A Celebrity Pastor’s Fall From Grace,https://www.nytimes.com/interactive/2020/world/europe/united-kingdom-coronavirus-cases.html,Carmen Lynch told the same joke on “The Tonight Show” and an album. It didn’t take off until she made it the subject of a goofy video on TikTok.
Did you follow the headlines this week? Try our news quiz.,https://www.nytimes.com/interactive/2020/world/americas/mexico-coronavirus-cases.html,"The Year in Pictures project is an annual celebration of photojournalism. In 2020, photographers were living what they captured."
